game_id,blue_kills,blue_deaths,blue_assists,blue_elite_monsters,blue_dragons,blue_heralds,blue_towers_destroyed,blue_total_gold,blue_avg_level,blue_total_experience,blue_total_minions_killed,blue_total_jungle_minions_killed,blue_gold_diff,blue_experience_diff,blue_cs_per_min,blue_gold_per_min,red_kills,red_deaths,red_assists,red_elite_monsters,red_dragons,red_heralds,red_towers_destroyed,red_total_gold,red_avg_level,red_total_experience,red_total_minions_killed,red_total_jungle_minions_killed,red_gold_diff,red_experience_diff,red_cs_per_min,red_gold_per_min,winner,blue_kda,red_kda,blue_vision_score,red_vision_score,first_blood
4476006621,3,5,2,0,0,0,0,15562,7.2,18590,236,73,-764,803,23.6,1556.2,5,3,6,2,1,1,0,16326,6.8,17787,233,46,764,-803,23.3,1632.6,red,1,3.67,21,37,blue
4499940691,9,2,5,0,0,0,0,17139,7.2,19137,223,51,3037,2694,22.3,1713.9,2,9,2,1,1,0,0,14102,6.6,16443,213,41,-3037,-2694,21.3,1410.2,blue,7,0.44,19,16,blue
4426644547,7,7,6,0,0,0,1,19229,7.2,18820,257,62,3545,2162,25.7,1922.9,7,7,10,1,1,0,0,15684,6.6,16658,145,36,-3545,-2162,14.5,1568.4,blue,1.86,2.43,18,22,blue
4525072812,7,7,10,1,1,0,0,16972,7.2,19060,209,48,-1031,-394,20.9,1697.2,7,7,7,0,0,0,0,18003,7.4,19454,255,60,1031,394,25.5,1800.3,red,2.43,2,16,20,red
4524217548,5,10,6,0,0,0,0,16249,7,18383,213,59,-1796,-749,21.3,1624.9,10,5,15,1,1,0,0,18045,7,19132,214,44,1796,749,21.4,1804.5,red,1.1,5,18,18,red
4499622849,5,4,9,0,0,0,0,16415,6.8,17645,247,37,1626,747,24.7,1641.5,4,5,5,1,1,0,0,14789,7,16898,203,51,-1626,-747,20.3,1478.9,blue,3.5,1.8,22,19,blue
4499844894,6,8,10,1,0,1,0,18012,7.2,19837,250,70,832,1330,25,1801.2,8,6,11,1,1,0,0,17180,7,18507,186,48,-832,-1330,18.6,1718,blue,2,3.17,41,13,red
4460534353,11,6,11,2,1,1,0,19294,7.4,20668,242,52,2750,2647,24.2,1929.4,6,11,9,0,0,0,0,16544,7,18021,203,52,-2750,-2647,20.3,1654.4,blue,3.67,1.36,16,16,red
4495269641,5,8,4,1,0,1,0,15383,6.8,17243,227,28,-1524,-827,22.7,1538.3,8,5,11,0,0,0,0,16907,7,18070,186,39,1524,827,18.6,1690.7,red,1.12,3.8,17,14,red
4524995677,6,8,2,1,1,0,0,15777,6.6,17401,224,53,-1370,-875,22.4,1577.7,8,6,9,0,0,0,0,17147,7,18276,210,36,1370,875,21,1714.7,red,1,2.83,20,22,blue
4464596479,4,6,4,0,0,0,0,14805,6.6,17323,209,43,-1506,-412,20.9,1480.5,6,4,7,1,1,0,0,16311,7,17735,231,44,1506,412,23.1,1631.1,red,1.33,3.25,17,20,red
4452452649,6,7,2,0,0,0,0,15244,6.6,16787,199,52,-1101,-718,19.9,1524.4,7,6,5,2,1,1,0,16345,7,17505,212,40,1101,718,21.2,1634.5,red,1.14,2,18,21,red
4420481816,8,3,7,1,0,1,0,17574,7.2,19195,252,44,2774,2207,25.2,1757.4,3,8,2,1,1,0,0,14800,6.6,16988,225,47,-2774,-2207,22.5,1480,red,5,0.62,22,19,red
4412895789,8,11,9,0,0,0,0,16655,7,17831,222,44,-1806,-588,22.2,1665.5,11,8,13,2,1,1,0,18461,7,18419,215,55,1806,588,21.5,1846.1,red,1.55,3,24,16,red
4525114135,6,4,8,1,1,0,0,16855,7,18370,248,44,1265,1248,24.8,1685.5,4,6,4,1,0,1,0,15590,6.8,17122,207,52,-1265,-1248,20.7,1559,red,3.5,1.33,17,21,red
4496624699,6,14,4,0,0,0,0,15786,6.6,16995,200,46,-4443,-4140,20,1578.6,14,6,9,1,1,0,0,20229,7.6,21135,227,66,4443,4140,22.7,2022.9,blue,0.71,3.83,20,19,red
4522663961,3,5,1,0,0,0,0,15143,7.2,19080,233,59,-927,967,23.3,1514.3,5,3,7,1,1,0,0,16070,7,18113,216,48,927,-967,21.6,1607,red,0.8,4,22,20,red
4522251387,9,5,9,0,0,0,0,17309,7,18904,221,36,1425,728,22.1,1730.9,5,9,3,2,1,1,0,15884,6.8,18176,208,44,-1425,-728,20.8,1588.4,blue,3.6,0.89,15,16,blue
4472377536,6,4,6,1,1,0,0,16416,7.4,19684,211,60,1177,1161,21.1,1641.6,4,6,2,0,0,0,0,15239,7,18523,204,71,-1177,-1161,20.4,1523.9,blue,3,1,17,14,red
4466226469,2,7,2,1,1,0,0,15222,7,17812,231,64,-1586,410,23.1,1522.2,7,2,14,1,0,1,0,16808,6.8,17402,211,64,1586,-410,21.1,1680.8,blue,0.57,10.5,21,22,blue
4473936532,5,10,3,2,1,1,0,15526,6.8,17629,232,44,-2896,-2081,23.2,1552.6,10,5,6,0,0,0,0,18422,7.4,19710,236,76,2896,2081,23.6,1842.2,red,0.8,3.2,18,17,red
4524445302,12,9,10,0,0,0,0,17597,6.4,15938,143,48,905,1054,14.3,1759.7,9,12,9,0,0,0,0,16692,6.2,14884,181,40,-905,-1054,18.1,1669.2,blue,2.44,1.5,19,15,red
4459740551,9,17,17,0,0,0,0,16834,6.2,14815,187,29,-3887,-3392,18.7,1683.4,17,9,21,0,0,0,0,20721,7,18207,211,40,3887,3392,21.1,2072.1,red,1.53,4.22,18,32,blue
4463542711,12,6,12,1,1,0,0,19058,7.2,19575,202,47,3413,2984,20.2,1905.8,6,12,7,0,0,0,0,15645,6.6,16591,210,39,-3413,-2984,21,1564.5,blue,4,1.08,34,18,blue
4508629003,7,9,5,2,1,1,0,16806,7,18034,228,48,-256,-1580,22.8,1680.6,9,7,7,0,0,0,0,17062,7.4,19614,230,52,256,1580,23,1706.2,red,1.33,2.29,18,36,blue
4475094281,7,10,7,0,0,0,0,16643,6.8,17554,227,44,-1820,-1412,22.7,1664.3,10,7,11,0,0,0,0,18463,7.2,18966,231,45,1820,1412,23.1,1846.3,blue,1.4,3,24,24,blue
4513430767,6,4,12,1,1,0,0,16189,6.8,17737,224,39,625,-534,22.4,1618.9,4,6,4,0,0,0,0,15564,7,18271,217,48,-625,534,21.7,1556.4,blue,4.5,1.33,15,103,blue
